Model_name,Image Style,Accuracy
gpt4o-base,circle,25.47%
gpt4o-base,color,23.90%
gpt4o-base,leftright,27.36%
gpt4o-4choice-zeroshot,circle,51.26%
gpt4o-4choice-zeroshot,color,57.55%
gpt4o-4choice-zeroshot,leftright,57.86%
gpt4o-4choice-oneshot,circle,48.43%
gpt4o-4choice-oneshot,color,57.55%
gpt4o-4choice-oneshot,leftright,54.09%
gpt4o-4choice-threeshot,circle,49.69%
gpt4o-4choice-threeshot,color,57.55%
gpt4o-4choice-threeshot,leftright,59.12%
gpt4o-4choice-fiveshot,circle,45.91%
gpt4o-4choice-fiveshot,color,58.49%
gpt4o-4choice-fiveshot,leftright,54.40%
gpt4o-4choice-explain,circle,52.83%
gpt4o-4choice-explain,color,61.95%
gpt4o-4choice-explain,leftright,58.18%
geminipro-4choice-zeroshot,circle,40.57%
geminipro-4choice-zeroshot,color,50.94%
geminipro-4choice-zeroshot,leftright,49.69%
geminipro-4choice-oneshot,circle,49.06%
geminipro-4choice-oneshot,color,50.63%
geminipro-4choice-oneshot,leftright,56.29%
geminipro-4choice-threeshot,circle,50.31%
geminipro-4choice-threeshot,color,52.20%
geminipro-4choice-threeshot,leftright,58.49%
geminipro-4choice-fiveshot,circle,50.63%
geminipro-4choice-fiveshot,color,52.52%
geminipro-4choice-fiveshot,leftright,56.92%
Idefics2-4choice-zeroshot-fullsize,circle,32.39%
Idefics2-4choice-zeroshot-fullsize,color,32.39%
Idefics2-4choice-zeroshot-fullsize,leftright,29.56%
Idefics2-4choice-zeroshot,circle,34.59%
Idefics2-4choice-zeroshot,color,30.82%
Idefics2-4choice-zeroshot,leftright,28.93%
Idefics2-4choice-oneshot,circle,33.02%
Idefics2-4choice-oneshot,color,30.82%
Idefics2-4choice-oneshot,leftright,26.42%
Idefics2-4choice-threeshot,circle,33.96%
Idefics2-4choice-threeshot,color,29.87%
Idefics2-4choice-threeshot,leftright,29.87%
Idefics2-4choice-fiveshot,circle,33.02%
Idefics2-4choice-fiveshot,color,30.50%
Idefics2-4choice-fiveshot,leftright,26.42%
Idefics3-4choice-zeroshot-fullsize,circle,25.79%
Idefics3-4choice-zeroshot-fullsize,color,40.57%
Idefics3-4choice-zeroshot-fullsize,leftright,35.22%
Idefics3-4choice-zeroshot,circle,30.19%
Idefics3-4choice-zeroshot,color,38.68%
Idefics3-4choice-zeroshot,leftright,33.96%
Idefics3-4choice-oneshot,circle,31.45%
Idefics3-4choice-oneshot,color,32.70%
Idefics3-4choice-oneshot,leftright,36.48%
Idefics3-4choice-threeshot,circle,32.70%
Idefics3-4choice-threeshot,color,34.59%
Idefics3-4choice-threeshot,leftright,30.82%
Idefics3-4choice-fiveshot,circle,33.33%
Idefics3-4choice-fiveshot,color,34.91%
Idefics3-4choice-fiveshot,leftright,31.76%
llavanext-4choice-zeroshot,circle,30.50%
llavanext-4choice-zeroshot,color,35.53%
llavanext-4choice-zeroshot,leftright,32.70%
llavanext-4choice-oneshot,circle,28.30%
llavanext-4choice-oneshot,color,24.84%
llavanext-4choice-oneshot,leftright,27.99%
llavanext-4choice-threeshot,circle,29.56%
llavanext-4choice-threeshot,color,27.04%
llavanext-4choice-threeshot,leftright,27.36%
llavanext-4choice-fiveshot,circle,26.42%
llavanext-4choice-fiveshot,color,26.42%
llavanext-4choice-fiveshot,leftright,27.67%
Instructblip-4choice-zeroshot,circle,22.64%
Instructblip-4choice-zeroshot,color,23.58%
Instructblip-4choice-zeroshot,leftright,26.10%
molmo-4choice-zeroshot,circle,39.94%
molmo-4choice-zeroshot,color,44.03%
molmo-4choice-zeroshot,leftright,43.71%
molmod-4choice-zeroshot,circle,41.82%
molmod-4choice-zeroshot,color,47.17%
molmod-4choice-zeroshot,leftright,49.06%
gpt4o_fewshot_cot,circle,40.25%
gpt4o_fewshot_cot,color,51.89%
gpt4o_fewshot_cot,leftright,55.03%
geminipro_fewshot_cot,circle,35.22%
geminipro_fewshot_cot,color,38.99%
geminipro_fewshot_cot,leftright,43.71%
gpt4o_zeroshot_cot,circle,44.97%
gpt4o_zeroshot_cot,color,54.72%
gpt4o_zeroshot_cot,leftright,50.31%
geminipro_zeroshot_cot,circle,39.31%
geminipro_zeroshot_cot,color,50.63%
geminipro_zeroshot_cot,leftright,50.00%
