ID,Name,Characters,Place,Ancestor,Family,Type,Fontname
6138ca71dc2a42003d456703,Hangul,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175",Korea,NA,East Asian,featural system,Noto Sans KR
6138ca71dc2a42003d45670e,Mandaic,"U+0840,U+0841,U+0842,U+0843,U+0844,U+0845,U+0846,U+0847,U+0848,U+0849,U+084A,U+084B,U+084C,U+084D,U+084E,U+084F,U+0850,U+0851,U+0852,U+0853,U+0854,U+0855,U+0856,U+0857,U+0858",Mesopotamia (Iraq),Imperial Aramaic,Middle East,alphabet,Noto Sans Mandaic
6138ca71dc2a42003d456711,Ogham,"U+1681,U+1682,U+1683,U+1684,U+1685,U+1686,U+1687,U+1688,U+1689,U+168A,U+168B,U+168C,U+168D,U+168E,U+168F,U+1690,U+1691,U+1692,U+1693,U+1694,U+1695,U+1696,U+1697,U+1698,U+1699,U+169A",Ireland,NA,Phoenician,alphabet,Noto Sans Ogham
6138ca71dc2a42003d456714,Gothic,"U+10330,U+10331,U+10332,U+10333,U+10334,U+10335,U+10336,U+10337,U+10338,U+10339,U+1033A,U+1033B,U+1033C,U+1033D,U+1033E,U+1033F,U+10340,U+10341,U+10342,U+10343,U+10344,U+10345,U+10346,U+10347,U+10348,U+10349,U+1034A",Bulgariaæ,Greek,Phoenician,alphabet,Noto Sans Gothic
6138ca71dc2a42003d456717,Kayah Li,"U+A90A,U+A90B,U+A90C,U+A90D,U+A90E,U+A90F,U+A910,U+A911,U+A912,U+A913,U+A914,U+A915,U+A916,U+A917,U+A918,U+A919,U+A91A,U+A91B,U+A91C,U+A91D,U+A91E,U+A91F,U+A920,U+A921,U+A922,U+A923,U+A924,U+A925","Kayah & Karen states, Myanmar",Brahmi,Mainland SE Asia,alphabet,Noto Sans Kayah Li
6138ca71dc2a42003d45671a,Ol Chiki,"U+1C5A,U+1C5B,U+1C5C,U+1C5D,U+1C5E,U+1C5F,U+1C60,U+1C61,U+1C62,U+1C63,U+1C64,U+1C65,U+1C66,U+1C67,U+1C68,U+1C69,U+1C6A,U+1C6B,U+1C6C,U+1C6D,U+1C6E,U+1C6F,U+1C70,U+1C71,U+1C72,U+1C73,U+1C74,U+1C75,U+1C76,U+1C77","India, Bangladesh, Bhutan, NEpal",NA,Recent Invention,alphabet,Noto Sans Ol Chiki
6138ca71dc2a42003d45671d,Osmanya,"U+10480,U+10481,U+10482,U+10483,U+10484,U+10485,U+10486,U+10487,U+10488,U+10489,U+1048A,U+1048B,U+1048C,U+1048D,U+1048E,U+1048F,U+10490,U+10491,U+10492,U+10493,U+10494,U+10495,U+10496,U+10497,U+10498,U+10499,U+1049A,U+1049B,U+1049C,U+1049D",Somalia,NA,Recent Invention,alphabet,Noto Sans Osmanya
6138ca71dc2a42003d456720,Meroitic Cursive,"U+109A0,U+109A1,U+109A2,U+109A3,U+109A4,U+109A5,U+109A6,U+109A7,U+109A8,U+109A9,U+109AA,U+109AB,U+109AC,U+109AD,U+109B0,U+109B1,U+109B2,U+109B3,U+109B4,U+109B5,U+109B6,U+109B7,U+109AE,U+109AF","Near Shendi, Sudan",NA,Middle East,alphabet,Noto Sans Meroitic
6138ca71dc2a42003d456723,Bassa Vah,"U+16AD0,U+16AD1,U+16AD2,U+16AD3,U+16AD4,U+16AD5,U+16AD6,U+16AD7,U+16AD8,U+16AD9,U+16ADA,U+16ADB,U+16ADC,U+16ADD,U+16ADE,U+16ADF,U+16AE0,U+16AE1,U+16AE2,U+16AE3,U+16AE4,U+16AE5,U+16AE6,U+16AE7,U+16AE8,U+16AE9,U+16AEA,U+16AEB,U+16AEC,U+16AED",Liberia (or Western Africa),NA,Recent Invention,alphabet,Noto Sans Bassa Vah
6138ca71dc2a42003d456726,Mro,"U+16A40,U+16A41,U+16A42,U+16A43,U+16A44,U+16A45,U+16A46,U+16A47,U+16A48,U+16A49,U+16A4A,U+16A4B,U+16A4C,U+16A4D,U+16A4E,U+16A4F,U+16A50,U+16A51,U+16A52,U+16A53,U+16A54,U+16A55,U+16A56,U+16A57,U+16A58,U+16A59,U+16A5A,U+16A5B,U+16A5C,U+16A5D,U+16A5E","Chittagongh, Bangladesh",NA,Recent Invention,alphabet,Noto Sans Mro
